Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: MyClass.BENCHNIGGA: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 06584355-e20a-416a-bb0f-b52b779b32c0.dll --anonymousPipes 3028 3032 --benchmarkName DiscordBotNet.Bot+MyClass.BENCHNIGGA --job Default --benchmarkId 0 in C:\Users\theiz\Documents\coding\DiscordBotSolution\discordbotnet\bin\Release\net8.0\06584355-e20a-416a-bb0f-b52b779b32c0\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.12
// Runtime=.NET 8.0.6 (8.0.624.26715), X64 RyuJIT AVX2
// GC=Concurrent Server
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: DefaultJob
WorkloadResult  77: 16384 op, 678495500.00 ns, 41.4121 us/op
WorkloadResult  78: 16384 op, 711936100.00 ns, 43.4531 us/op
WorkloadResult  79: 16384 op, 747673700.00 ns, 45.6344 us/op
WorkloadResult  80: 16384 op, 644954000.00 ns, 39.3649 us/op
WorkloadResult  81: 16384 op, 744104200.00 ns, 45.4165 us/op
WorkloadResult  82: 16384 op, 704575200.00 ns, 43.0039 us/op
WorkloadResult  83: 16384 op, 700886700.00 ns, 42.7787 us/op
WorkloadResult  84: 16384 op, 713784600.00 ns, 43.5660 us/op
WorkloadResult  85: 16384 op, 698433400.00 ns, 42.6290 us/op
WorkloadResult  86: 16384 op, 737085900.00 ns, 44.9882 us/op
WorkloadResult  87: 16384 op, 751384000.00 ns, 45.8608 us/op
WorkloadResult  88: 16384 op, 705436300.00 ns, 43.0564 us/op
WorkloadResult  89: 16384 op, 638549300.00 ns, 38.9740 us/op
WorkloadResult  90: 16384 op, 693344400.00 ns, 42.3184 us/op
WorkloadResult  91: 16384 op, 685513400.00 ns, 41.8404 us/op
WorkloadResult  92: 16384 op, 703950800.00 ns, 42.9657 us/op
WorkloadResult  93: 16384 op, 671672900.00 ns, 40.9957 us/op
WorkloadResult  94: 16384 op, 737798100.00 ns, 45.0316 us/op
WorkloadResult  95: 16384 op, 671545100.00 ns, 40.9879 us/op
WorkloadResult  96: 16384 op, 675723100.00 ns, 41.2429 us/op
WorkloadResult  97: 16384 op, 641174200.00 ns, 39.1342 us/op
WorkloadResult  98: 16384 op, 623788800.00 ns, 38.0730 us/op
